Paper #,Authors & Year,Title (Short),Venue,Task,Dataset(s),Pose Source,Architecture,Streams,Top-1 SD,Top-1 SI,Macro F1 Reported,Params / Cost,Relevant to Your Project
1,Yan et al. 2018,ST-GCN: Spatial Temporal Graph Convolutional Networks,AAAI 2018,Action Recognition,NTU-RGBD 60,MoCap / Kinect,ST-GCN — fixed adjacency + spatial GCN + 1D temporal conv,1 (joints only),81.5% (X-Sub) / 88.3% (X-View),N/A — action recognition,No,Medium,Foundational architecture your project builds on; your Milestone 1 baseline model
2,Shi et al. 2019,2s-AGCN: Two-Stream Adaptive Graph Convolutional Networks,CVPR 2019,Action Recognition,NTU-RGBD 60,MoCap / Kinect,2s-AGCN — adaptive adjacency (fixed + global learned + per-sample attention),2 (joints + bones),88.5% (X-Sub) / 95.1% (X-View),N/A — action recognition,No,Medium-High,Adaptive adjacency + bone stream; your Milestone 2 model; +7% over ST-GCN
3,Liu et al. 2020,MS-G3D: Disentangled Multi-Scale Graph Convolutions,CVPR 2020,Action Recognition,"NTU-RGBD 60, NTU-RGBD 120",MoCap / Kinect,MS-G3D — disentangled k-hop adjacency + unified space-time G3D operator,Not explicitly stated in notes (likely 2 — joint + bone inferred from 2s-AGCN lineage),91.5% (NTU-60 X-Sub) / 96.2% (X-View) / 86.9% (NTU-120 X-Sub),N/A — action recognition,No,High,Multi-scale temporal aggregation motivates Ablation A1 (T=32/48/64/96); unified space-time conv
4,Sridhar et al. 2020,INCLUDE: A Large Scale Dataset for Indian Sign Language Recognition,ACM MM 2020,Isolated SLR,INCLUDE (263 classes / 4287 videos / 15 signers),N/A — RGB video + OpenPose for skeleton baseline,"MobileNetV2+BiLSTM (RGB); XGBoost (skeleton)",N/A,85.6% (RGB) / 82.2% (pose-video) / 63.1% (XGBoost skeleton),Not reported,No,Low (XGBoost),Your primary dataset; 63.1% skeleton baseline is your floor; no SI evaluation published
5,Bazarevsky et al. (Google) 2020,BlazePose / MediaPipe Holistic: On-Device Real-Time Body Pose Tracking,Google AI Blog / arXiv 2020,Pose Estimation,N/A — tool paper,MediaPipe Holistic (produces 75 keypoints),BlazePose + Hand Landmark MLP,N/A,N/A — pose tool; not a classification paper,N/A,No,Lightweight (mobile),Your pose extraction backbone; gives 53-joint subset (21L + 21R + 11 upper body) per frame
6,Tunga et al. 2021,GCN-BERT: Sign Language Recognition Using GCN and BERT,WACV 2021,Isolated SLR,WLASL-100,Not specified (likely OpenPose),GCN (fully-connected learned adjacency) + BERT temporal encoder + skip connection,1 (joints only),60.15% (WLASL-100),Not reported,No,High (BERT overhead),Hybrid spatial-GCN + temporal-transformer; skip connections; +5% over prior GCN baseline
7,"Amorim, Macedo, Zanchettin 2020",ST-GCN Applied to Sign Language Recognition (ASLLVD-Skeleton),arXiv 2020,Isolated SLR,ASLLVD (20-sign subset / full 2745 signs),OpenPose (27 upper-body joints),ST-GCN with custom skeleton layout,1 (joints only),61.04% (20-sign subset) / 37.15% (full dataset approx.),Not reported,No,Medium,Practical pipeline template (6-step: acquire → segment → estimate → filter → split → normalize); validates upper-body-only joint selection
8,Song et al. 2025,HA-GCN: Hand-Aware Graph Convolutional Network for SLR,"Journal of Information & Intelligence, 2025",Isolated SLR,"INCLUDE (263 classes), AUTSL (Turkish SL)",MediaPipe,"HA-GCN — ST-GCN base + Structured Hand (SH) sub-graph + Parameterized Hand (PH) sub-graph + Adaptive DropGraph",4 (joint + bone + joint motion + bone motion),"ST-GCN baseline (from this paper): 99.02% INCLUDE; HA-GCN single-stream: 99.39% INCLUDE; HA-GCN multi-stream: 99.63% INCLUDE; AUTSL: 95.88% single / 96.82% multi-stream [NOTE: Paper 12 PRISMA review cites 96.00% AUTSL for this paper — minor discrepancy]",Not reported — SD only,No,High,Current SOTA on INCLUDE; your main competitor; hand-specific sub-graphs are your architectural inspiration for Milestone 3
9,Arib et al. 2025,SignFormer-GCN: Continuous Sign Language Translation Using ST-GCN,PLoS ONE 2025,Continuous SLT (NOT isolated),"RWTH-PHOENIX-2014T, How2Sign, BornIIDB",MediaPipe,"STGCN-LSTM (skeleton stream) + I3D Transformer (RGB stream) — fused by addition",2 (RGB stream + skeleton stream),WER metric (not Top-1) — new SOTA on How2Sign and BornIIDB,N/A — WER task,No,Very High (I3D + Transformer),Different task (continuous SLT); shows STGCN+LSTM for variable-length sequences; RGB+skeleton fusion direction
10,Miah et al. 2024,GCAR: Sign Language Recognition Using Graph Conv with Attention & Residual,IEEE Access 2024,Isolated SLR,"WLASL, MSL (Mexican SL), ASLLVD, PSL (Pakistani SL)",Not specified,GCAR — 2-stream (joint + joint motion) GCN with channel attention modules + residual connections + Sep-TCN,2 (joint + joint motion),90.31% WLASL / 94.10% MSL / 99.75% ASLLVD / 34.41% PSL,Not reported,No,Very Low (0.69M params),Lightweight model; channel attention + residual connections for small datasets; Sep-TCN for parameter efficiency; NOT tested on INCLUDE
11,Moryossef 2024,Optimizing Hand Region Detection in MediaPipe Holistic,arXiv 2024,Pose Estimation (tool fix),N/A — tool fix paper,MediaPipe Holistic (improved ROI prediction),MLP replacing heuristic ROI estimator,N/A,+6% IoU over standard MediaPipe heuristic (57% → 63%),N/A,N/A,Minimal,Fixes MediaPipe hand detection for rotated hands; check INCLUDE keypoint quality; confidence filtering for noisy frames
12,"Sembayev & Akbarov 2025",Recent Advancements in Skeleton-Based SLR: A PRISMA Systematic Review,"Vestnik KazNPU, 2025",Systematic Review,19 skeleton-based SLR papers (Scopus; Jan 2015–Dec 2024),"Various: MediaPipe, OpenPose, MMPose",ST-GCN variants / CNN+RNN / Transformers / Hybrids,N/A — review paper,93–99% range on curated isolated datasets; INCLUDE SD 99.63% (HA-GCN),Rarely reported — gap confirmed,N/A,N/A,Validates SI evaluation on INCLUDE as open research gap; confirms multi-stream GCN dominates; justifies skeleton approach
